a ایک
abandonment ترک
abatement تخفیف
abattoir کمیلا
abattoir مذبح
abdomen پیٹ
abject پست
abject بدحال
able لائق
abominable کریہہ
about نزدیک
abrogation تنسیخ
abrogation منسوخی
absconder فراری
absinth افسنتین
absolutely ضرور
absorbed غرق
absorbed محو
abstinence پرہیز
abstinent تائب
abstract تلخیص
absurd نامعقول
abundance کثرت
abundant فراواں
abundant کثیر
accent نبرہ
accept ماننا
access دسترس
access رسائی
acclivity چڑھائی
accomplishment بجاآوری
account بیان
acidity تیزابیت
acknowledge ماننا
acrobat نٹ
across پار
act عمل
action کارروائی
action عمل
actual حقیقی
actually واقعی
acumen بصیرت
adage کہاوت
adage مثل
add جوڑنا
add بڑھانا
addict رسیا
addiction لت
addition افزائش
additional مزید
address پتہ
adequate کافی
administration بندوبست
admiration تعریف
admirer مدّاح
adolescent برنائی
adoration تعظیم
adorer پرستار
adorn سجانا
adornment تزئین
adroit تیز
adult جوان
adult بالغ
adulterer زانی
advantage فائدہ
advantage نفع
advice مشورہ
advocacy تائید
advocacy وکالت
aeroplane طیّارہ
affable خلیق
affair بات
affair امر
affectation بناوٹ
affected بناوٹی
affection رغبت
affectionate بامہر
affectionate شفیق
affirmation تصدیق
afflatus آمد
affluent تونگر
afoot برپا
afraid ترساں
after بعد
again دوبارہ
agate یشب
aged مُسِن
agency ذریعہ
aggravate بڑھانا
agnostic لاادری
agrarian زرعی
ague جُوڑی
aid مدد
aim مقصد
air دُھن
air باد
air ہوا
airy ہوائی
albeit تاہم
alert باخبر
alert ہوشیار
alien اجنبی
alien بیگانہ
alimentation تغذیہ
alkali القلی
all تمام
allay گھٹانا
allegorical تمثیلی
allegory مجاز
allotment تفویض
allow دینا
alloy آمیزہ
almanac جنتری
almond بادام
almost تقریباً
also بھی
alter بدلنا
alteration ردوبدل
alteration تبدیلی
altercation تکرار
altogether قطعی
always ہمیشہ
ambassador سفیر
ambiguity اِبہام
amendment ترمیم
amity دوستی
amusement تفریح
analogical تمثیلی
ancient قدیم
angle گوشہ
angle زاویہ
anklet پازیب
anklet پائل
annoy ستانا
annulment منسوخی
anthem ترانہ
anus مبرز
anvil اہرن
anxiousness تشویش
apex چوٹی
apology معذرت
apparently بظاہر
appeal درخواست
appellation نام
appendix ضمیمہ
applause داد
appliance آلہ
appliance جنتر
applicant سائل
application درخواست
appraisal جانچ
appraisal تخمینہ
apprehension خیال
apprehensiveness تشویش
approximately تقریباً
apropos بحوالہ
arbitrator حکم
arcade چھتّا
area رقبہ
arguer باحث
argumentative بحّاث
armpit بغل
arrangement تنظیم
arrangement ترتیب
arrow بان
artery شریان
artful چالاک
article مضمون
artificial بناوٹی
artificial نقلی
artificiality بناوٹ
askew خمیدہ
asparagus مارچوبہ
assassination قتل
assessment تشخیص
assessment جانچ
assimilation ضم
assistance مدد
association انجمن
association رفاقت
asthma دمہ
astrolabe اُصطرلاب
astrologer جوتشی
at پر
atheism دہریت
atheist دہریہ
atonement کفّارہ
atrocity خباثت
attach لگانا
attach جوڑنا
attack حملہ
attain پانا
attempt سعی
attempt کوشش
attendant تابع
attractive دلکش
augment بڑھانا
avarice لالچ
avaricious لالچی
aversion کراہت
avoid بچنا
awareness آگاہی
awesome بارعب
awkward بھونڈا
awl سُتاری
awning نمگیرا
axe تبر
bachelor چھڑا
back کمر
bait ترغیب
baize بانات
baldness گنج
bale گانٹھ
ban بندش
bandit ڈاکو
banyan بنیان
barber حجّام
base ذلیل
baseness کمینگی
baseness ذلالت
bashful شرمیلا
basic اساسی
bathe نہانا
bay کھاڑی
bear بھوگنا
bear جننا
beard داڑھی
beauty جمال
bedclothes چادر
bedevil چکرانا
bedstead پلنگ
befog چکرانا
before آگے
before پیشتر
beggar گداگر
beggar فقیر
belligerent لڑاکا
bend موڑنا
benefit فائدہ
bet شرط
betrothal منگنی
beverage مشروب
bile صفرا
bird پرندہ
birthday سالگرہ
bisection تنصیف
bitter تلخ
bitumen نفت
bizarre عجیب
black کالا
blackcurrant مویز
blackguard لفنگا
blacksmith لوہار
blast دھماکا
bleak چٹیل
boast بڑ
boatman مانجھی
bondage روک
boor گنوار
boozer شرابی
borer برما
born زائیدہ
bosom چھاتی
botany نباتیات
both دونوں
bottle بوتل
bound جست
box صندوق
box بکس
boy لڑکا
brace کسنا
brain بھیجا
bran چُونی
brave جری
brave بہادر
bravery بہادری
brazier انگیٹھی
brazier ٹھٹھیرا
bread روٹی
breadth عرض
break خلل
breakup خاتمہ
breast چھاتی
breath دم
bricklayer راج
bridal عروسی
bride عروس
bridegroom عریس
brim لب
brimstone گندھک
brinjal بادنجان
brink دہانہ
brittle کھڑنک
broadness چکلان
brother بھائی
brother-in-law سالا
brow پیشانی
build بنانا
bundle بنڈل
bunting جھنڈی
buoyancy لچک
burden بوجھ
business کاروبار
business امر
business کام
businessman کاروباری
busy مشغول
but لیکن
butchery مذبح
buttermilk چھاچھ
button بٹن
buy خریدنا
buyer خریدار
bygone قدیم
calcination تکلیس
calculating چالاک
calling پیشہ
callosity گٹاّ
calorie حرارہ
cameleer ساربان
cancellation تنسیخ
candidate امیدوار
canister کنستر
canny چالاک
capable لائق
cape راس
captain کپتان
caravan قافلہ
carousel چرخ
carpenter نجّار
carpenter بڑھئی
carpenter ترکھان
carpet قالین
carry پہنچانا
casque خود
castle کوٹ
catapult فلاخن
catarrh نزلہ
categorical قطعی
categorical حتمی
category درجہ
catty چالاک
cause سبب
cautious خبردار
cave غار
cavern غار
cease تھمنا
celery کرفس
celery اجمود
celestial سماوی
centipede کنکھجورا
central مرکزی
centrality مرکزیت
centralization مرکزیت
centred وسطی
ceremony تقریب
certain یقینی
certainly یقیناً
certification تصدیق
chagrin رنجیدگی
chalk چاک
chalk کھریا
chandelier جھاڑ
change بدلنا
chaos افراتفری
charm افسوں
charm منتر
chase تعاقب
chaste پارسا
chaste عفیف
chastisement تادیب
chauvinism شاونیت
cheap گھٹیا
cheapness ارزانی
check شہ
cheerfully بخوشی
cheerfulness بشاشت
chef باورچی
chide ڈانٹنا
chieftainship سرداری
childbirth زچگی
childhood لڑکپن
childhood بچپن
chillsome خُنک
chin ذقن
chink کھنکنا
chirrup چہکار
chisel چھینی
church کلیسا
cinerarium ہڑواڑ
cinnabar شنگرف
circle حلقہ
circular گول
circularity گولائی
circumspection خبرداری
citron گلگل
civic مدنی
civilization تہذیب
claim اِدّعا
claim دعویٰ
clamour شور
clan قبیلہ
clandestine خُفیہ
cleanness صفائی
cleanness صفا
clear صاف
cleft درز
clever ہوشیار
clever چالاک
clever تیز
cleverness ہوشیاری
cleverness چالاکی
clip کاٹنا
clitoris ٹنا
clock گھڑی
clock گھنٹہ
close نزدیک
close گھنا
closed بند
clothes بستر
clothes-line الگنی
cloud ابر
cloud بادل
club ڈنڈا
clumsy بھدّا
cluster خوشہ
cobbler موچی
coconut نارجیل
cold سرد
cold بارِد
cold نزلہ
collective مجموعی
collision ٹکّر
colour رنگ
colour رنگنا
coloured رنگین
colourful رنگین
colt بچھیرا
column تھم
comb شانہ
comb کنگھا
come آنا
coming اگلا
command حکم
commandant کمیدان
commemorative یادگاری
commend سراہنا
commonplace پامال
companion ندیم
companionship رفاقت
competent لائق
compilation تالیف
compilation ترتیب
complainant فریادی
complete تمام
completion تکمیل
complex پیچیدہ
complexity پیچیدگی
compliance تعمیل
compound گھیر
compress دبانا
compulsion جبر
compulsion مجبوری
comradeship رفاقت
concealment اِخفا
concealment پوشیدگی
conceited مغرور
concern اندیشہ
concern تشویش
conch شنکھ
concubine داشتہ
condolence تعزیت
confiscation ضبطی
