punkah پنکھا
puppet پُتلی
purchase خریدنا
purchaser خریدار
purchaser گاہک
pure سچّا
pure محض
pure پاک
pure صاف
purely محض
purification تطہیر
purification تزکیہ
purity صفائی
purity پاکیزگی
purple ارغوانی
purpose مقصد
pursuit تعاقب
push دھکیلنا
pyramidal اہرامی
pyramidal مخروطی
quagmire دلدل
quail بٹیر
quake لرزنا
quarrelsome لڑاکا
quatrain رُباعی
queer عجیب
quell دبانا
querulous شاکی
quest تلاش
questioner سائل
quick تیز
quiet خاموش
rabies ہڑک
race خاندان
racial نسلی
radioactivity تابکاری
raga راگ
rainbow دھنک
ram مینڈھا
ransom تاوان
rant بنکارنا
rapt محو
rare نایاب
rate شرح
rational عقلی
rational معقول
rave بنکارنا
raw کچّا
reach پہنچنا
reach پانا
reach پہنچ
reach رسائی
ready آمادہ
readiness آمادگی
real اصلی
reality حقیقت
rear عقب
reason عقل
reasonable معقول
rebel باغی
rebellion بغاوت
rebellious باغیانہ
rebuke ڈانٹ
rebuke ڈانٹنا
receptacle ظرف
reception پذیرائی
reciprocal باہمی
recompense پاداش
recovery بازیابی
recreation تفریح
recreational تفریحی
recruitment بھرتی
redness لالی
reduction تقلیل
refined نفیس
refined شائستہ
refuse پھوک
refutation تردید
regal شاہانہ
register دفتر
reign بادشاہی
reincarnation آواگون
relater راوی
relation عزیز
relation ربط
relative عزیز
release چھوڑنا
religion مذہب
relinquish چھوڑنا
relinquishment ترک
remembrance یادگار
renewal تجدید
repentance ندامت
reply جواب
repository مخزن
reprehension ملامت
republic جمہوریہ
request مانگ
request طلب
reside بسنا
resilience لچک
resin رال
respect تکریم
restoration بحالی
restraint ضبط
restriction تحدید
restriction پابندی
result ثمر
result نتیجہ
retaliatory جوابی
retrieval بازیافت
revival تجدید
revocation تنسیخ
revolt بغاوت
revolution چکّر
rhinoceros گینڈا
ricer گھوڑی
right راست
right صحیح
rigid کٹّر
rigidity سختی
ring حلقہ
ringworm داد
riot بلوا
riot فساد
rioter بلوائی
ripen پکنا
rise چڑھنا
rise بڑھنا
risk خطرہ
river دریا
rivulet ندی
