اٹوٹ unbreakable
ابابیل swallow
ابتری deterioration
ابتری disorganization
ابر cloud
ابرق mica
اِبہام ambiguity
اُبھار protuberance
اُبھار swell
ابھی now
ابھی presently
اپنا friend
اپنا private
اُتارنا lower
اُتھلا shallow
اُتھلا superficial
اثنا during
اُجلا white
اجمود celery
اجنبی alien
اجنبی new
اجنبی foreign
اجنبی stranger
اجیر employee
احمق fool
احمق stupid
احمقانہ foolish
اخبار gazette
اخذ extraction
اخذ derivation
اِخفا concealment
اخلاقیات ethics
اخیر last
اخیر final
ادب decorum
ادبی literary
اِدّعا claim
ادنیٰ small
ادنیٰ petty
ادنیٰ little
ادنیٰ trivial
ادیب writer
ارز value
ارزانی cheapness
ارغوانی purple
اڑواڑ prop
از from
اساسی basic
اسپ horse
استر lining
اسیری imprisonment
اُصطرلاب astrolabe
اصل root
اصلی real
اصلی fundamental
اصلی natural
اعصابیات neurology
افراتفری confusion
افراتفری chaos
افزائش addition
افزونی enhancement
افسانوی fabulous
افسر officer
افسردگی sadness
افسردگی dejection
افسنتین absinth
افسوں spell
افسوں charm
افواہ rumour
افواہ hearsay
اقل minimum
اقل least
اکثر frequently
اکثر most
اکڑ stubbornness
اکڑن cramp
اکیلا lonely
اکیلا solitary
اگرچہ though
اگلا coming
اُلٹی vomit
السی linseed
القلی alkali
الگ separate
الگنی clothes-line
الماس diamond
امان protection
امر point
امر business
امر affair
امیدوار candidate
امیرانہ grand
امین trustee
انا ego
انا i
انبار heap
انبوہ multitude
انبوہ crowd
انجمن association
انداز manner
انداز style
اندازہ guess
اندازہ estimate
اندر in
اندر within
اندیشہ concern
اندھیرا dusky
انگریزی english
انگیٹھی brazier
انمل ill-assorted
انمول priceless
انوکھا uncommon
انوکھا peculiar
انوکھا curious
دوستانہ friendly
انیق unique
اُوپری superficial
اوچھا frivolous
اوچھا superficial
اوس dew
اُونگھنا doze
اہرامی pyramidal
اہرن anvil
اہم significant
ایڑ spur
ایک a
ایک single
ایکا unity
ایلچی emissary
آب water
آبشار waterfall
آبیاری irrigation
آپ you
آپ self
آپا self
آج today
آدمی person
آدمی individual
آراکش sawyer
آرام convenience
آرام sleep
آرائش decoration
آرائشی ornamental
آرائشی decorative
آرزو longing
آڑ screen
آزادی freedom
آزمائش test
آزمائش trial
آسان easy
آسانی facility
آسمان heaven
آسن seat
آشکار manifest
آغاز outset
آفاقی universal
آفاقیت universality
آقا employer
آقا lord
آگاہی awareness
آگے before
آگے further
آلودگی pollution
آلودگی impurity
آلہ appliance
آم mango
آمادگی readiness
آمادگی willingness
آمادہ ready
آمادہ willing
آماس intumescence
آمد afflatus
آمد income
آمد incoming
آمدنی income
آمیزہ alloy
آمیزہ mixture
آنا come
آندھی tempest
آوارہ vagabond
آوارہ wanderer
آوارہ vagrant
آواز noise
آواز sound
آہ moan
آہستہ slack
آہنگ tune
آہنگ harmony
آئینہ mirror
آئینہ looking-glass
آئینی constitutional
آیا whether
بآسانی easily
بتدریج gradually
بحوالہ apropos
بخوشی cheerfully
بشمول cum
بظاہر apparently
بظاہر ostensibly
بغیر without
باخبر alert
بارعب awesome
باضابطہ formal
بامہر affectionate
بات affair
باحث arguer
باد air
بادام almond
بادشاہی reign
بادل cloud
بادنجان brinjal
بادی windy
بادیہ desert
بار encumbrance
بارِد cold
باڑ fence
باز open
بازدار falconer
بازیابی recovery
بازیافت retrieval
بازی game
باغ garden
باغبان gardener
باغی rebel
باغی insurgent
باغی mutineer
باغیانہ rebellious
باغیانہ mutinous
باکھ udder
بالا high
بالائی upper
بالغ adult
بالغ mature
بام eel
بان arrow
دربان porter
دربان gatekeeper
بانات baize
بانجھ sterile
بانکا fop
بانی founder
باورچی chef
باورچی cook
باہر out
باہم together
باہمی mutual
باہمی reciprocal
بائع vendor
بتانا signify
بتانا disclose
بٹن button
بٹیر quail
بجا just
بجاآوری accomplishment
بجری gravel
بجز except
بجز save
بچانا protect
بچانا shield
بچپن infancy
بچپن childhood
بچنا avoid
بچھیرا colt
بحّاث argumentative
بحالی restoration
بحث debate
بحث discussion
بحر sea
بحر ocean
بحریات oceanography
بخشش tip
بخیل miser
بخیلی niggardliness
بدبو stink
بدبو stench
بدحال abject
بدخواہ malevolent
بدسلوکی maltreatment
بدگو traducer
بدنام disreputable
بدنام infamous
بدنام notorious
بدنامی infamy
بدنامی disgrace
بدنما ugly
بدہیئت misshapen
بداعت originality
بُدبُدانا mutter
بددعا curse
بدل value
بدلنا change
بدلنا alter
بدن frame
بدی evil
بدی wickedness
بدّھی weal
برآمدہ veranda
برجستہ extempore
