گانا sing
گانٹھ bale
گاہک purchaser
گت pace
گٹاّ callosity
گٹھیا gout
گداگر beggar
گدلا turbid
گدیلا cushion
گڈریا shepherd
گرج thunder
گرجنا thunder
گرم warm
گشتی whore
گلگل citron
گلوکار singer
گلی lane
گمبھیر grave
گمبھیر heavy
گنج baldness
گندا dirty
گندگی filth
گندمی wheaten
گندہ filthy
گندھک brimstone
گندھی perfumer
گنوار boor
گواہ witness
گواہی evidence
گودام godown
گوشہ angle
گول circular
گول round
گولائی roundness
گولائی circularity
گولائی curvature
گولائی sphericity
گولی pill
گولی globule
گومڑا lump
آواگون transmigration
آواگون reincarnation
گہرا deep
گہرائی deepness
گیارہ eleven
گیارھواں eleventh
گینڈا rhinoceros
گھاٹا loss
گھٹانا lessen
گھٹانا allay
گھٹانا decrease
گھٹاؤ depreciation
گھٹیا mediocre
گھٹیا mean
گھٹیا low
گھٹیا cheap
گھر house
گھڑی clock
گھڑیال gharial
گھمنڈ haughtiness
گھمنڈ pride
گھنا dense
گھنا close
گھنٹہ clock
گھوڑی mare
گھوڑی ricer
گھونگا mollusc
گھیر compound
گھینگا goitre
لاادری agnostic
لادینیت secularism
لاشعاع x-ray
لاقانونیت lawlessness
لاوارث heirless
لاٹھی lathi
لاجوردی ultramarine
لاغری weakness
لاکھ lakh
لاگت expenditure
لالچ avarice
لالچی avaricious
لالچی greedy
لالچی covetous
لالی ruddiness
لالی redness
لامحدود infinite
لائق capable
لائق able
لائق competent
لائق worthy
لب brim
لبن milk
لپٹ flame
لپیٹنا furl
لت addiction
لچک resilience
لچک elasticity
لچک suppleness
لچک buoyancy
لچکیلا elastic
لچکیلا supple
لذیذ delicious
لرزاں tremulous
لرزنا quake
لرزنا tremble
لرزنا throb
لڑاکا quarrelsome
لڑاکا fighter
لڑاکا belligerent
لڑکا boy
لڑکی girl
لشکری soldier
لطافت subtlety
لطیف thin
لطیف elegant
لطیفہ joke
لعنتی cursed
لغو preposterous
لفّاظ verbose
لفّاظی verbosity
لفظ word
لفظیات vocabulary
لفنگا yob
لفنگا blackguard
لکیر line
لگانا attach
لمبا tall
لمبائی length
لمحہ moment
لمس touch
لنگ lameness
لنگڑا lame
لوبھی covetous
لوکاٹ loquat
لون salt
لوہار blacksmith
لہات uvula
لہٰذا therefore
لہر wave
لہرانا flutter
لہسنی garlicky
لیکن but
مادرانہ motherly
مادری matriarchal
مادّی material
مارچوبہ asparagus
مارنا manhandle
ماڑا weak
مالا necklace
مالشیا masseur
مالشیا massager
مالی pecuniary
مالیخولیا melancholia
ماں mummy
مانجھی boatman
ماند dim
ماندگی weariness
ماندہ weary
ماندہ indisposed
مانع preventive
مانگ request
ماننا acknowledge
ماننا own
ماننا accept
مانوس intimate
ماہوار monthly
مایوس despondent
مبادا lest
مبرز anus
متانت seriousness
متروک obsolete
متین grave
متین serious
مثل saying
مثل saw
مثل adage
مجاز allegory
مجبوری helplessness
مجبوری compulsion
مجموعی collective
مجنوں lunatic
مجوسی magus
مجہول unknown
مچھلی fish
محبس prison
محبوب lovey
محصول duty
محصول tax
محض mere
محض purely
محض pure
محفوظ secure
محکومی subjection
محو absorbed
محو rapt
مخروطی pyramidal
مخزن repository
مخفی occult
مخلوط mixed
مخمل velvet
مخملی velvety
مدّاح admirer
مدخل gate
مدد aid
مدد assistance
مدد help
مددگار helper
مدنی civic
مدنی urban
مذاق joke
مذبح butchery
مذبح abattoir
مذہب religion
مذہبی godly
مُر myrrh
مرتبہ status
مردانگی manliness
مرض disease
مرضی pleasure
مرکزی central
مرکزیت centralization
مرکزیت centrality
مروارید pearl
مرہم ointment
مرہم unguent
مریض diseased
مرینا merino
مزا taste
مزید additional
مزید more
مزید further
مسحور fascinated
مسخرہ wag
مسرور delighted
مُسِن aged
مسئلہ proposition
مسئلہ problem
مسئلہ issue
مشروب beverage
مشغول engaged
مشغول busy
مُشک musk
مشورہ advice
مشین machine
مشینی mechanical
مضبوط strong
مضبوط solid
مضبوط firm
مضمون article
مطلب meaning
مظہر phenomenon
معاً instantaneously
معبر ford
معدنی mineral
معدوم extinct
معذرت excuse
معذرت apology
معذور handicapped
معذوری inability
معروضیت objectivity
معروضیت objectivism
معروف well-known
معصوم innocent
معصوم sinless
معقول reasonable
معقول rational
معقول sensible
معکوس inversive
معمل laboratory
معمول practice
معنی meaning
مغرور haughty
مغرور conceited
مغز pith
مُغوی kidnapper
مقام place
مقامی local
مقبرہ tomb
مقبول popular
مقبولیت popularity
مقصد aim
مقصد design
مقصد object
مقصد purpose
مقصود design
مکّار sly
مکان dwelling
مکر wile
مکروہ loathsome
مگر save
مگس fly
مگن happy
مُلّا mullah
ملامت reprehension
ملٹ pasteboard
ملخ locust
ملغوبہ farrago
ملغوبہ hotchpotch
ملغوبہ medley
ممنوع taboo
ممنون thankful
ممنون grateful
ممولا wagtail
منانا propitiate
منبع fountain
منتر spell
منتر mantra
منتر charm
مندا slow
منسوخی annulment
منسوخی abrogation
منشور manifesto
منشور prism
منصوبہ design
منطقی logician
منطقی logical
منظر scenery
منظر scene
منظوری sanction
منعقدکرنا convene
منفی negative
منفی minus
منگل tuesday
منگنی betrothal
منوی seminal
مواد matter
موٹا fat
موٹا gross
موٹائی thickness
موچی cobbler
مورنی corbel
موڑنا bend
مُول root
مومیانا mummify
مویز blackcurrant
مہارت expertise
مہک fragrance
مہمیز spur
مہنگا costly
مہنگا expensive
میرا mine
میش ewe
میل connection
مینڈھا ram
نااستواری inconstancy
نابکار vile
ناپاک dirty
ناپاکی uncleanliness
ناتمام deficient
ناتواں weak
ناتواں infirm
ناخواندہ illiterate
نادانستگی unwittingness
نادرست wrong
نادرست false
ناشائستہ indecorous
ناشائستہ indecent
نافرمان disobedient
ناکارہ unserviceable
ناکافی insufficient
ناکام unsuccessful
ناکامی failure
ناگفتہ unsaid
نامرد eunuch
نامعقول absurd
ناموزوں unsuitable
نایاب rare
ناآزمودہ inexperienced
ناپنا measure
ناتوانی weakness
ناٹک drama
ناچ nautch
ناچنا dance
نادار penniless
نادار pauper
نادار poor
ناداری poverty
نادان simple
نارجیل coconut
نازک tender
نازک gracile
نازک subtle
ناشپاتی pear
ناکس nobody
نالی tube
نالی drain
نام appellation
نامور famous
ناموری fame
نامیہ organism
نان nan
نان naan
نباتی vegetal
نباتیات botany
نبرہ accent
نتیجہ result
نتھنا nostril
نٹ acrobat
نثر prose
نثری prosaic
نجات salvation
نجّار carpenter
نجم star
نحیف weak
نحیف thin
نخالص impure
نخلستان oasis
نخوت haughtiness
ندامت shame
ندامت repentance
ندی rivulet
ندیم companion
نرم soft
نرمی mildness
نزدیک near
نزدیک close
نزدیک about
نزدیکی nearness
نزلہ catarrh
نزلہ cold
نسل generation
نسلی racial
نسیج tissue
نصیحت precept
نظارہ scene
نظر view
نظر sight
نظر look
نظر vision
نظری visual
نظری theoretical
نعرہ slogan
نفاذ enforcement
نفت bitumen
نفخ flatulence
نفرت hate
نفرت hatred
نفس self
نفع profit
نفع gain
نفع advantage
نفیس exquisite
نفیس refined
نقاب veil
نقش impression
نقش picture
نقل imitation
نقل duplicate
نقل copy
نقلی spurious
نقلی fictitious
نقلی false
نقلی artificial
نگینہ jewel
نل tap
نم damp
نمکین saltish
نمکینی saltness
نمگیرا awning
نمونہ pattern
نمونہ specimen
نمی moistness
نمی dampness
نمی moisture
ننگا nude
ننگا naked
ننگاپن nudity
نواب nawab
نوچنا pluck
نوک point
نوک tip
نویسندہ writer
نہانا bathe
نیا novel
نیک virtuous
نیکی goodness
نیولا weasel
نیولا mongoose
وادی vale
وار stroke
وارث inheritor
وارث heir
واسطہ medium
واسطہ connection
واسکٹ waistcoat
واقعہ happening
واقعہ event
واقعی actually
واقعی verily
وبال plague
وبال curse
وبائی epidemic
وتر sinew
وتر diagonal
وجد ecstasy
وحدت unity
وحدت oneness
وحشی wild
وحشی ferocious
ورطہ vortex
ورغلانا tempt
ورنہ otherwise
وزن weight
وزن importance
وزنی weighty
وزنی heavy
وزیر vizier
وزیر minister
وسطی centred
وسیع spacious
وسیع extensive
وسیلہ medium
وصف virtue
وضاحت explanation
وضع manner
وضع make
وضع style
وضع kind
وطن homeland
وظیفہ fellowship
وظیفہ scholarship
وعدہ promise
وعظ sermon
وفات demise
وقار solemnity
وقار prestige
وقار honour
وقتی transitory
وقف trust
وقفہ halt
وقفہ pause
وقفہ hiatus
وکالت advocacy
وکیل lawyer
وہ they
وہاں there
وہم delusion
وہمی fanciful
ویدانت vedanta
ہاٹ market
ہاضمہ digestion
ہاں yes
