سرو cypress
سمن butter
سمن fat
نیست non-existence
نیست destroyed
نیست ruined
ادنیٰ near
ادنیٰ mean
ادنیٰ trivial
ادنیٰ closer
ادنیٰ commoners
ادنیٰ ignoble
ادنیٰ small
ادنیٰ bit
ادنیٰ commonalty
ادنیٰ contemptible
ادنیٰ inferior
ادنیٰ petty
ادنیٰ lowly
ادنیٰ nearer
ادنیٰ little
ٹر obstinacy
ٹر chatter
ٹر pride
ٹر conceit
ٹر crane
ٹر stork
ٹر madeness
ناگوار unpalatable
ناگوار unpleasant
ناگوار offensive
ناگوار unacceptable
ناگوار awkward
ناگوار icky
ناگوار irksome
ناگوار disagreeable
بابرکت blessed
بابرکت fortunate
بابرکت prosperous
بابرکت auspicious
ستی virtuous
ستی sati
ستی chaste
دھر keeping
دھر putting
کِیا done
کِیا made
کِیا deed
کِیا performed
کِیا doing
کِیا action
کِیا created
چھے six
ٹانک valuation
ٹانک stitch
ٹانک hemming
ٹانک writing
ٹانک assessment
ٹانک rivet
ٹانک appraisement
سرورق etc.)
چوڑا mire
چوڑا slush
چوڑا mud
چوڑا wet
چوڑا soaked
نزد contiguous
نزد near
نزد neighbouring
نزد close
پئی one-fourth
اُوپر at
اُوپر high
اُوپر above
اُوپر more
اُوپر on
اُوپر outside
اُوپر atop
صحرائی uninhabited
صحرائی wild
خرچہ costs
خرچہ expenses
اسباق lessons
کاج function
کاج work
کاج buttonhole
کاج business
کاج feast
کاج affair
باشعور sagacious
باشعور wise
باشعور intelligent
باشعور shrewd
رسیدہ flowers
رسیدہ arrived
رسیدہ godly
رسیدہ etc.)
رسیدہ perfect
رسیدہ saintly
رسیدہ received
رسیدہ ripe
ماس swelling
ماس flesh
ماس meat
بدلنا modify
بدلنا exchange
بدلنا alter
بدلنا change
بدلنا amend
بدلنا vary
بدلنا transfer
بدلنا transform
جر attracting
جر drawing
جر pulling
جر dragging
انبیا prophets
انبیا apostles
تماشائی spectator
تماشائی onlooker
تماشائی bystander
قامت form
قامت shape
قامت height
قامت figure
قامت stature
گدھا donkey
گدھا moke
گدھا fool
گدھا simpleton
گدھا jackass
گدھا ass
بور fish-bait
بور dip
بور boring
اعضا components
اعضا brain
اعضا parts
اعضا kidneys
اعضا etc.)
اعضا organs
اعضا segments
اعضا heart
اعضا liver
راجیہ reign
راجیہ kingdom
بولتی language
بولتی spirit
بولتی talking
بولتی life
بولتی soul
برن tribe
برن division
برن class
برن beauty
برن caste
برن kind
برن colour
برن alluvium
برن hue
برن feature
برن sect
برن elegance
برن appearance
برن sort
برن guise
کھر weeds
کھر straw
باگ rein
باگ reins
باگ bridle
پیشین ancient
پیشین afternoon
پیشین evening
پیشین former
پیشین prior
پیشین earlier
پیشین preceding
الفا alpha
مرنا death
مرنا die
مرنا expire
مرنا fade
مرنا wither
تزکیہ purification
تزکیہ sanctifying
حر ardour
حر warmth
حر heat
حر boiling
چھڑا cleaned
چھڑا solitary
چھڑا winnowed
چھڑا apart
چھڑا bachelor
چھڑا alone
چھڑا separated
چھڑا single
مفعول catamite
آنچ blaze
آنچ trial
آنچ glow
آنچ glare
آنچ difficulty
آنچ flame
آنچ passion
آنچ fire
آنچ splendour
آنچ warmth
آنچ affection
آنچ fervour
مستی lust
مستی frenzy
مستی intoxication
مستی ecstasy
مستی drunkenness
بدتر worse
بدتر inferior
جادوگر conjuror
جادوگر magician
جادوگر sorcerer
رجم expelling
رجم reproach
رجم repulse
راشن food
راشن ration(s)
راشن provision
چہل forty
جلن heartburn
جلن burning
جلن sensation
جلن jealousy
جلن passion
جلن envy
جلن inflammation
جلن vexation
جلن rage
ہدر allowed
ہدر lawful
ہدر pardonable
بہم together
نالہ moan
نالہ lamentation
منسوخی abolition
منسوخی abrogation
منسوخی annulment
منسوخی cancellation
رانجھا beloved
رانجھا lover
تال beat
تال tank
تال measure
تال toddy-palm
تال pool
تال pond
دُعا incantation
دُعا verse
دُعا benediction
دُعا prayer
جاٹ strong
جاٹ stout
جاٹ well-built
جاٹ jat
مرہم ointment
مرہم unguent
مرہم salve
دھونا cleanse
دھونا efface
دھونا wash
رفاقت companionship
رفاقت association
رفاقت friendship
رفاقت comradeship
اُصول tenet
اُصول etc.
اُصول air
اُصول water
اُصول rule
اُصول principle
اُصول dogma
اُصول doctrine
اُصول dust
مجنوں mad
مجنوں insane
مجنوں lunatic
اناجیل gospels
وجاہت dignity
وجاہت beauty
وجاہت personality
وجاہت authority
وجاہت domination
وجاہت elegance
وجاہت respectability
وجاہت appearance
ورد rose
ورد flower
ورد petal
آمیزش adulteration
آمیزش mixture
آمیزش temperament
آمیزش adulterant
آمیزش conspiracy
آمیزش mixing
تخفیف abatement
تخفیف relief
تخفیف remission
تخفیف diminution
تخفیف reduction
حمام etc.)
حمام dove
نجس dung
نجس dirt
نجس filth
سامراجی imperialist
سامراجی imperialistic
بیانوے ninety-two
غضنفر lion
ذکی acute
ذکی fiery
ذکی ingenious
ذکی flaring
ذکی sharp
ذکی clever
ذکی shrewd
آرامی indolent
آرامی aramaic
آرامی lazy
خریدار seeker
خریدار desirous
خریدار buyer
خریدار purchaser
کوک cuckoo
کوک erotica
کوک basting
دوام durability
دوام eternally
دوام solidity
دوام eternity
دوام perpetuity
دوام continuation
دوام perpetual
دوام always
دوام everlasting
دواں running
شملہ sash
کھاد dung
کھاد manure
چھاتی courage
چھاتی spirit
چھاتی chest
چھاتی bosom
چھاتی teat
چھاتی fortitude
چھاتی bravery
چھاتی liberality
چھاتی breast
چھاتی endurance
چھاتی heart
عتبہ mausoleum
عتبہ shrine
کوڑا lash
کوڑا whip
گاہک customer
گاہک buyer
گاہک purchaser
مجبوراً perforce
پرسن pleased
پرسن flourishing
پرسن bright
پرسن delighted
پرسن clear
یاقوت ruby
یاقوت garnet
دسواں tenth
عمودی perpendicular
پروری fostering
پروری nourishing
گندھک sulphur
گندھک brimstone
ٹوٹا loss
ٹوٹا cartridge
ٹوٹا injury
ٹوٹا want
ٹوٹا damage
ٹوٹا deprivation
معذوری excuse
معذوری inability
معذوری regret
معذوری disability
دھرمی religious
دھرمی virtuous
دھرمی pious
دھرمی just
سلیس simple
